,actor,rev_sum,grade_sum,appearances,score,score_epfl,gender,cluster
18121,Kathryn_Cressida,81754244.04761904,4.408281623162482,1.0,19.702713240261676,4.336324753611013,F,0
18122,Blaire_Restaneo,81754244.04761904,4.408281623162482,1.0,19.702713240261676,4.336324753611013,F,0
18123,Takashi_Naitō,81754244.04761904,4.408281623162482,1.0,19.702713240261676,4.336324753611013,M,0
18124,Jun_Fubuki,44371726.81104357,4.440501576236308,2.0,19.098880378719215,4.125186587861998,F,0
18125,Yūko_Tanaka,81754244.04761904,4.408281623162482,1.0,19.702713240261676,4.336324753611013,F,0
18126,Aoi_Teshima,81754244.04761904,4.408281623162482,1.0,19.702713240261676,4.336324753611013,F,0
18127,Okada_Junichi,81754244.04761904,4.408281623162482,1.0,19.702713240261676,4.336324753611013,M,0
18128,Eun-ji_Jo,15862506.364468865,2.8090917472021264,2.0,17.61233000169408,3.6053945396173352,F,2
18129,Kang-hee_Choi,13156559.669335833,3.1551833915847247,3.0,17.541477647970694,3.5806200747663457,F,2
18130,Chin_Siu_Ho,21205477.38095238,3.241904130374609,1.0,18.04593092503677,3.7570088512130893,M,2
18131,Choi_Si_Won,21205477.38095238,3.241904130374609,1.0,18.04593092503677,3.7570088512130893,M,2
18132,Nicky_Wu,21205477.38095238,3.241904130374609,1.0,18.04593092503677,3.7570088512130893,M,2
18133,Fan_Bing-Bing,19203564.597738404,3.905249124630271,4.0,18.132928053475172,3.7874285505931367,F,1
18134,Richard_Petty,549979939.2857143,6.917861599888807,1.0,22.05949906601639,5.160406164221908,M,0
18135,Michael_Wallis,549979939.2857143,6.917861599888807,1.0,22.05949906601639,5.160406164221908,M,0
18136,Guido_Quaroni,572783797.3024316,6.048122399531292,2.0,21.96576676306847,5.1276314217786085,M,0
18137,Jeremy_Clarkson,549979939.2857143,6.917861599888807,1.0,22.05949906601639,5.160406164221908,M,0
18138,Tom_Magliozzi,549979939.2857143,6.917861599888807,1.0,22.05949906601639,5.160406164221908,M,0
18139,Ray_Magliozzi,549979939.2857143,6.917861599888807,1.0,22.05949906601639,5.160406164221908,M,0
18140,Bob_Costas,549979939.2857143,6.917861599888807,1.0,22.05949906601639,5.160406164221908,M,0
18141,Taika_Waititi,117696785.44037604,5.452167977363265,2.0,20.279635583978596,4.538053300018464,M,0
18142,David_Fane,1509345.3488372094,4.585928091729028,1.0,15.750179075325757,2.95426877952389,M,2
18143,Joel_Tobeck,60204752.325581394,5.1737621719902664,2.0,19.5568619661704,4.285325921905952,M,0
18144,Brian_Sergent,1509345.3488372094,4.585928091729028,1.0,15.750179075325757,2.95426877952389,M,2
18145,Jemaine_Clement,352813126.1452097,5.424176154517509,5.0,21.372315114007865,4.9201231846096185,M,1
18146,Lauren_Calvert,17443925.58139535,6.141853129122295,1.0,18.489628550975777,3.9121536087353093,F,0
18147,Kailin_See,17443925.58139535,6.141853129122295,1.0,18.489628550975777,3.9121536087353093,F,0
18148,Kaj-Erik_Eriksen,37876166.27906977,4.485653127212304,1.0,18.95071672387144,4.073379201567523,M,0
18149,Leah_Cairns,37876166.27906977,4.485653127212304,1.0,18.95071672387144,4.073379201567523,F,0
18150,Shannon_Lucio,5143017.058386938,4.220418419852546,2.0,16.89308471632454,3.353900889721184,F,2
18151,Stana_Katic,235829628.34625325,4.974752514642414,3.0,20.88299581207026,4.749026203215157,F,0
18152,Erika_Marozsán,6676288.372093024,4.338859557095843,1.0,17.18168429688969,3.4548135593642475,F,2
18153,Lorene_Scafaria,152186.0465116279,4.372584949733811,1.0,13.408213397476887,2.135369430116115,F,2
18154,Marc_Barbé,33977510.46937559,2.328914429463978,3.0,18.18661165584479,3.8061997339072846,M,2
18155,Jeanne_Balibar,665037.3856806898,3.7695427416976903,2.0,14.734552242555965,2.5991413921062456,F,2
18156,Guillaume_Depardieu,1142784.8837209302,2.851220876491369,1.0,14.996726002115006,2.690813923076848,M,2
18157,Lu_Lu,29882154.22654821,5.040117817929252,2.0,18.830201469948765,4.031239445223338,F,0
18158,Michael_Maize,531819302.32558143,5.440447392068263,1.0,21.785675631001826,5.06466016977506,M,0
18159,Zachary_Gordon,189968407.90431282,4.673514340251903,9.0,20.604279666165723,4.651569407537303,M,1
18160,Alicia_Coppola,531819302.32558143,5.440447392068263,1.0,21.785675631001826,5.06466016977506,F,0
18161,Daisy_Tahan,117219371.58750577,3.937446055072794,3.0,19.950090011790607,4.422823321536101,F,1
18162,Floanne_Ankah,9467717.441860463,3.6727116521234477,1.0,17.364328664708182,3.518677584099631,F,2
18163,Geneva_Carr,9467717.441860463,3.6727116521234477,1.0,17.364328664708182,3.518677584099631,F,2
18164,Tommy_Nelson,38309973.30426357,5.201753474241233,2.0,19.110216595172783,4.129150446242322,M,0
18165,Maggie_Siff,50803192.75150248,4.85057262357426,5.0,19.3225665247092,4.203401414473369,F,1
18166,David_Callegatti,9467717.441860463,3.6727116521234477,1.0,17.364328664708182,3.518677584099631,M,2
18167,Salman_Rushdie,9467717.441860463,3.6727116521234477,1.0,17.364328664708182,3.518677584099631,M,2
18168,Otto_Tausig,90067.44186046511,2.1997566850490347,1.0,12.19666077923495,1.7117339941933722,M,2
18169,Tj_Burnett,100673406.9767442,6.111534562453585,1.0,20.237570138685687,4.523344559361533,M,0
18170,Amy_Hunter,79858866.86046512,5.1011557502862725,2.0,19.825238602183173,4.379167370867311,F,0
18171,Ali_Suliman,78641403.4366925,5.318763701067535,3.0,19.851649769320613,4.388402385620308,M,0
18172,Ashraf_Barhom,171578203.3582545,5.419641136848583,4.0,20.650579319239583,4.667758695082632,M,1
18173,Minka_Kelly,71875405.08411679,5.608379324945299,2.0,19.814706480432495,4.375484674860665,F,0
18174,Joey_Ansah,514911788.372093,7.089870523304911,1.0,22.018173237744822,5.1459560404624485,M,0
18175,Susanne_Blakeslee,929021118.6046512,5.082528459140041,1.0,22.275450895082432,5.235916584378037,F,0
18176,Nick_Jameson,137125398.49267873,5.258908525224284,3.0,20.396329883116945,4.578857008863491,M,0
18177,Jang_Geun_Suk,6371734.418604652,2.871927129390239,2.0,16.722365547791984,3.2942066690222895,M,2
18178,Megan_Henning,11243904.65116279,2.5075243029669516,1.0,17.15463266391519,3.4453545972399255,F,2
18179,Jessica_Lee_Rose,11243904.65116279,2.5075243029669516,1.0,17.15463266391519,3.4453545972399255,F,2
18180,Kerri_Kenney-Silver,57754384.38341854,4.985145532110889,3.0,19.478172421535447,4.257811079346029,F,1
18181,Matt_Long,265974875.58139536,5.6729561261713375,1.0,21.134622754101343,4.837010899605751,M,0
18182,Raquel_Alessi,135567004.64463025,4.523074769681536,2.0,20.23416859663406,4.522155165085004,F,0
18183,Nancy_Kerrigan,169428653.4883721,6.105332077092119,1.0,20.75710497316467,4.705006802311351,F,0
18184,Brian_Boitano,169428653.4883721,6.105332077092119,1.0,20.75710497316467,4.705006802311351,M,0
18185,Dorothy_Hamill,169428653.4883721,6.105332077092119,1.0,20.75710497316467,4.705006802311351,F,0
18186,Peggy_Fleming,169428653.4883721,6.105332077092119,1.0,20.75710497316467,4.705006802311351,F,0
18187,Luciana_Carro,169428653.4883721,6.105332077092119,1.0,20.75710497316467,4.705006802311351,F,0
18188,Scott_Hamilton,169428653.4883721,6.105332077092119,1.0,20.75710497316467,4.705006802311351,M,0
18189,Stephanie_Courtney,158997262.7906977,5.925021380667994,2.0,20.663581840449723,4.672305199013222,F,0
18190,Sasha_Cohen,169428653.4883721,6.105332077092119,1.0,20.75710497316467,4.705006802311351,F,0
18191,Tom_Virtue,169428653.4883721,6.105332077092119,1.0,20.75710497316467,4.705006802311351,M,0
