,actor,rev_sum,grade_sum,appearances,score,score_epfl
1720,Marvin_Kaplan,48518630.90909091,10.786501376594472,3.0,20.07575390444986,3.5822542369954773
1721,Jody_Lawrance,16363636.363636363,2.8092806347116914,1.0,17.643500584745734,2.948773220878719
1722,Jean_Peters,427701745.4545455,45.5357009956784,12.0,23.692433309771836,4.52421933828296
1723,Alexander_Knox,65631235.4978355,9.892350585716553,3.0,20.291324081841346,3.6383995463315286
1724,Lynn_Bari,19545454.545454547,2.5788339367317774,1.0,17.73559064755419,2.972758101931016
1725,Rory_Calhoun,469323290.11663985,49.480180309894195,13.0,23.86837459850012,4.570043293155409
1726,Alden_'Stephen'_Chase,23636363.63636364,3.001575601486869,1.0,18.077434267475656,3.061791362548468
1727,Phyllis_Thaxter,1170554948.821549,12.330404500701077,3.0,23.392811911395086,4.44618286635942
1728,Dick_Wesson,105454545.45454547,15.927091167679357,5.0,21.241812075615723,3.8859543940215775
1729,Jeffrey_Hunter,712668997.6689976,50.7849520204305,14.0,24.31212772232526,4.685618910838163
1730,Jack_Warden,2610618822.28256,161.58916540571153,35.0,26.76791022492062,5.325228108820511
1731,Henry_Slate,94545454.54545453,15.869150263953617,5.0,21.128968266861936,3.8565641943854105
1732,Robert_Rockwell,19090909.09090909,3.708603540762237,1.0,18.075378217537693,3.0612558638019616
1733,Harvey_Lembeck,3288449126.873127,22.124143279104285,6.0,25.010351368872215,4.8674714430181245
1734,Charles_Bronson,1105006852.2450845,100.23823644625165,24.0,25.430667090143192,4.97694278304819
1735,Eddie_Albert,840700440.4315635,53.02050561463163,13.0,24.52042469710762,4.739869912643858
1736,Jane_Greer,158921277.49634087,21.587619383937117,6.0,21.956039501183128,4.0719751146519165
1737,Richard_Erdman,126787878.78787878,20.460640833664037,5.0,21.676529083568983,3.9991765529515395
1738,Charles_Tannen,14545454.545454543,2.800054745550309,1.0,17.522428069372005,2.917239852441549
1739,Aladdin,15909090.909090908,2.5957874425469063,1.0,17.536291175744996,2.9208505021384994
1740,Alexander_Steinert,15909090.909090908,2.5957874425469063,1.0,17.536291175744996,2.9208505021384994
1741,Antonio_Filauri,15909090.909090908,2.5957874425469063,1.0,17.536291175744996,2.9208505021384994
1742,Esther_Dale,34090909.09090909,7.484177302664733,2.0,19.35733241016341,3.3951411700653993
1743,Hans_Conried,928133190.909091,23.962985002269512,7.0,23.825196153358227,4.558797455774393
1744,Rita_Corday,15909090.909090908,2.5957874425469063,1.0,17.536291175744996,2.9208505021384994
1745,Gig_Young,344603295.4545455,35.60177201262982,9.0,23.230299857397114,4.4038565592006
1746,June_Allyson,565681818.1818181,29.828234120175622,9.0,23.548997718065223,4.486861500739678
1747,James_Arness,208636363.63636363,32.30768122489435,8.0,22.631408418437385,4.247875126583217
1748,Ross_Elliott,40681818.18181819,9.786758726053263,3.0,19.80232214452785,3.5110388632879967
1749,Barbara_Whiting_Smith,12954545.454545457,2.841824594344047,1.0,17.42140359355405,2.8909280011736858
1750,Leslie_Caron,440561844.81574214,41.0977280069735,10.0,23.619514230681855,4.5052275449767265
1751,Georges_Guétary,40909090.90909091,5.328377268293385,1.0,19.19990960727517,3.3541403596951542
1752,Nina_Foch,1649047011.7163966,56.02021436646145,13.0,25.249175985775665,4.929673377234457
1753,Adele_Jergens,28636363.636363633,4.302076154965906,2.0,18.62928565690399,3.2055212019070716
1754,Sarah_Churchill,23636363.63636364,4.340284312868038,1.0,18.446236772025493,3.157846071749998
1755,Moultrie_Kelsall,25000000.0,4.3558910505101895,1.0,18.505915576229103,3.1733894319836002
1756,Alec_Mango,25000000.0,4.3558910505101895,1.0,18.505915576229103,3.1733894319836002
1757,Stanley_Baker,158146853.14685315,23.924954600645957,6.0,22.05395664938387,4.097477661625522
1758,Denis_O'Dea,93636363.63636364,12.861049107279566,3.0,20.90913266097583,3.799307953077324
1759,Christopher_Lee,9723988198.89203,124.10566278023047,25.0,27.818995001746213,5.598983415084964
1760,Robert_Beatty,1431666666.6666667,16.09831297329312,3.0,23.860819585947173,4.568075588151146
1761,Terence_Morgan,25000000.0,4.3558910505101895,1.0,18.505915576229103,3.1733894319836002
