,actor,grade_avg,grade_sum,appearances,gender,year_avg,birth_year,main_genre,2nd_genre,director,2nd_director,treatment,propensity_score
778,Inez_Courtney,1.823369916,30.99728857,17,F,1957.25,1908,Drama,Crime,Phil_Rosen,William_Nigh,1,0.353029452
838,Dorothy_Moore,1.844645752,51.65008106,28,F,1937,1919,Drama,Thriller,Kostas_Karagiannis,Edward_Killy,1,0.359391242
648,Elsa_Lanchester,3.208779387,112.3072785,35,F,1923.25,1902,Drama,Adventure,Frederick_De_Cordova,Ray_McCarey,1,0.344305545
728,Jimmy_Bennett,3.260364095,42.38473323,13,M,1975,1996,Comedy,Crime,Robert_Rodriguez,Amy_S._Weber,1,0.351742624
822,Rosalind_Miles,1.716297017,20.59556421,12,F,2017,1940,Drama,Crime,Al_Adamson,Lee_Madden,1,0.356783252
780,James_Marsden,4.309256921,198.2258184,46,M,1999,1973,Drama,Adventure,Bryan_Singer,Tom_McGrath,1,0.354042976
761,Edward_Norris,1.940581262,98.96964435,51,M,2001.6,1911,Drama,Crime,Phil_Rosen,Mervyn_LeRoy,1,0.353029452
848,Louis_Payne,1.127815962,4.511263847,4,M,2004.6,1873,Crime,Romance,Jack_Conway,Emory_Johnson,0,0.360379333
674,Corinne_Griffith,1.575963809,25.21542095,16,F,2009.5,1894,Romance,Drama,William_A._Seiter,Frank_Lloyd,1,0.346348792
905,Rick_Savage,1.406443766,84.38662596,60,M,1974.666667,1950,Drama,Thriller,Paul_Thomas,Henri_Pachard,1,0.365257215
1174,Angela_Gots,1.905703224,5.717109672,3,F,1976,1978,Drama,,Drew_Ann_Rosenberg,Eric_Etebari,0,0.387903975
1054,Mary_Louise_Miller,1.358278853,1.358278853,1,F,2007.578947,1924,Adventure,,Ray_Enright,,0,0.381077755
1205,Ben_Webster,2.475304395,14.85182637,6,M,2011.5,1864,Drama,Mystery,Alfred_Hitchcock,Arthur_Maude,0,0.391298392
1222,Louise_Latham,3.944433603,15.77773441,4,F,2008.777778,1922,Drama,,Alfred_Hitchcock,Glenn_Jordan,0,0.391298392
1043,Walter_Byron,2.091662328,50.19989587,24,M,2014,1899,Romance,Drama,William_Dieterle,Chester_M._Franklin,1,0.380370021
941,Barney_Oldfield,1.991919027,7.967676108,4,M,2012.5,1878,Drama,,Roy_Del_Ruth,William_Beaudine,0,0.369463075
1124,Will_Ferrell,4.822408232,327.9237598,68,M,2019,1967,Drama,Comedy,Adam_McKay,Ben_Stiller,1,0.387108648
1234,Susan_McBain,1.617142481,45.27998945,28,F,2011.8,1945,Comedy,Crime,Zebedy_Colt,Martin_&_Martin,1,0.391483732
987,W.E._Lawrence,1.765385321,14.12308257,8,M,1961,1896,Adventure,Comedy,D.W._Griffith,Christy_Cabanne,0,0.375666187
1132,Alexa_Davalos,5.027710979,10.05542196,2,F,1996,1982,Drama,Romance,Edward_Zwick,Robert_Benton,0,0.387108648
1191,Vernon_Dent,1.663964308,3.327928616,2,M,1986,1895,Comedy,Crime,Frank_R._Strayer,Harry_Edwards,0,0.389134119
1228,Martin_Gabel,3.564484709,24.95139296,7,M,2007,1912,Drama,Crime,Alfred_Hitchcock,Richard_Thorpe,0,0.391298392
1238,Dana_Dylan,1.550601503,12.40481202,8,F,1980,1967,Thriller,,Ron_Jeremy,Hal_Freeman,0,0.392614764
982,Audrey_Christie,5.186417365,5.186417365,1,F,2014,1912,Romance,,Elia_Kazan,,0,0.373692005
1111,Laurie_Metcalf,3.768311201,18.84155601,5,F,1993.681818,1955,Drama,Romance,Garry_Marshall,Greta_Gerwig,0,0.385709375
1047,William_Dieterle,1.601497147,4.804491441,3,M,1970.75,1893,Romance,,William_Dieterle,Frederic_Zelnik,0,0.380370021
1225,Maire_O'Neill,1.652501802,3.305003603,2,F,1975.571429,1885,Drama,,Alfred_Hitchcock,Herbert_Brenon,0,0.391298392
1240,Alice_Kelley,3.001901015,12.00760406,4,F,1997,1932,Adventure,Family,Charles_Lamont,Arthur_Lubin,0,0.392736357
1210,Joan_Barry,3.237824131,3.237824131,1,F,1981.789474,1903,Drama,,Alfred_Hitchcock,,0,0.391298392
1243,Bodil_Miller,2.538414006,5.076828012,2,F,2005.75,1928,Adventure,,Charles_Lamont,Sidney_Salkow,0,0.392736357
1066,Wallis_Clark,1.70684456,8.534222802,5,M,1986,1882,Drama,,Lambert_Hillyer,Howard_Bretherton,0,0.383285227
1187,Ann_Christy,2.906147014,11.62458806,4,F,2004.428571,1905,Comedy,Drama,Frank_R._Strayer,Ted_Wilde,0,0.389134119
1053,Geoffrey_Arend,4.219164309,25.31498585,6,M,1956.5,1978,Drama,Adventure,Marc_Webb,Jeff_Glickman,0,0.381043416
1179,Yuka_Mizuno,3.987263719,7.974527437,2,F,1982.5,1978,Comedy,,Chia-Liang_Liu,,0,0.388524267
1035,Portia_de_Rossi,2.677336386,18.7413547,7,F,2019,1973,Drama,Horror,Wes_Craven,Bruce_Wagner,0,0.379797086
940,Sid_Silvers,2.05201543,4.104030861,2,M,2004,1901,Drama,,David_Butler,Edwin_L._Marin,0,0.369105602
997,Elizabeth_Debicki,4.979529348,34.85670543,7,F,2000.083333,1990,Drama,Sci-Fi,Christopher_Nolan,Chanya_Button,0,0.377750389
937,Sharon_Lynn,1.840034543,18.40034543,10,F,2015,1901,Drama,Musical,David_Butler,Leo_McCarey,1,0.369105602
1158,William_Newell,1.685309108,8.426545539,5,M,2005,1894,Adventure,Drama,Sam_Newfield,Aubrey_Scotto,0,0.387800477
1076,George_Humbert,1.501734248,1.501734248,1,M,2016,1880,Drama,,Lambert_Hillyer,,0,0.383285227
1145,Mrs._Patrick_Campbell,2.340279178,14.04167507,6,F,1999,1865,Romance,,Robert_Z._Leonard,Edmund_Goulding,0,0.387543506
1027,Charles_Granval,2.060761147,4.121522293,2,M,2002,1882,Drama,,Jean_Delannoy,Julien_Duvivier,0,0.379454475
1025,Jeanne_Boitel,2.866919883,20.06843918,7,F,1982.5,1904,Drama,History,Jean_Delannoy,Sacha_Guitry,0,0.379454475
994,Juhan_Ulfsak,4.134679123,28.94275386,7,M,1972,1973,Drama,Sci-Fi,Christopher_Nolan,Moonika_Siimets,0,0.377750389
1108,Emma_Booth,3.527642843,21.16585706,6,F,2001,1982,Drama,,Joel_Schumacher,Ben_Young,0,0.38567111
1226,John_Longden,2.439484935,12.19742467,5,M,2017,1900,Drama,Sci-Fi,Alfred_Hitchcock,Ken_G._Hall,0,0.391298392
1067,Margaret_Thompson,1.330717501,5.322870004,4,F,2012,1889,Drama,,Lambert_Hillyer,Raymond_B._West,0,0.383285227
1151,Dorothy_Mathews,3.104481314,6.208962628,2,F,1987.666667,1912,Drama,,Archie_Mayo,,0,0.387589202
1116,Vivi_Bach,1.64669481,3.29338962,2,F,1977.5,1939,Adventure,Crime,Alberto_De_Martino,Alfonso_Balcázar,0,0.385816358
1070,Darrell_Foss,1.271215591,3.813646774,3,M,1948,1892,Drama,Sport,Lambert_Hillyer,Victor_Schertzinger,0,0.383285227
943,George_E._Stone,2.009744586,66.32157133,33,M,2016.857143,1903,Drama,Crime,Roy_Del_Ruth,Frank_R._Strayer,1,0.369463075
1150,Dorothea_Kent,1.333573474,8.001440844,6,F,2006,1916,Drama,Romance,Archie_Mayo,Arthur_Lubin,0,0.387589202
1194,May_Robson,2.494412788,132.2038778,53,F,2003.5,1858,Drama,Romance,Frank_Capra,James_Flood,1,0.389631552
1230,Arthur_Chesney,3.441309382,10.32392815,3,M,1986,1881,Drama,,Alfred_Hitchcock,Norman_Walker,0,0.391298392
969,Jocelyn_Brando,3.139014534,18.8340872,6,F,1968,1919,Drama,Western,Don_Siegel,H._Bruce_Humberstone,0,0.372277671
1090,Sally_Phipps,1.393241567,1.393241567,1,F,2013.538462,1911,Drama,,Irving_Cummings,,0,0.383748729
1202,Julius_Harris,2.845845425,34.15014511,12,M,2007,1923,Crime,Horror,Larry_Cohen,Gordon_Parks_Jr.,1,0.391058776
1213,Dick_Hogan,3.484195704,17.42097852,5,M,1940.318182,1917,Drama,,Alfred_Hitchcock,Christy_Cabanne,0,0.391298392
959,Yiwei_Liu,1.493606679,2.987213357,2,M,1978,1969,Romance,,Jing_Wong,Nan_Zhang,0,0.371469282
1023,Peter_Lawford,2.923902743,181.2819701,62,M,1998,1923,Romance,Crime,Lewis_Milestone,George_Sidney,1,0.379409318
1204,Robin_Irvine,2.469275654,12.34637827,5,M,2015.333333,1901,Drama,Thriller,Alfred_Hitchcock,Graham_Cutts,0,0.391298392
1008,Muriel_Kirkland,2.474410002,9.897640008,4,F,2007.428571,1903,Drama,,Tod_Browning,Irving_Cummings,0,0.378137374
1211,Betty_Amann,3.460209654,6.920419307,2,F,2014,1905,Drama,,Alfred_Hitchcock,Joe_May,0,0.391298392
1091,Paul_Nicholson,1.393241567,1.393241567,1,M,2020,1875,Drama,,Irving_Cummings,,0,0.383748729
972,Manolo_Fábregas,2.546384204,10.18553682,4,M,2007.083333,1921,Drama,History,Don_Siegel,Herbert_J._Leder,0,0.372277671
1223,Gibb_McLaughlin,1.616375494,8.081877469,5,M,2010,1884,Drama,Mystery,Alfred_Hitchcock,Edward_Dryhurst,0,0.391298392
1117,Miguel_Ángel_Fuentes,2.354895666,9.419582665,4,M,2009,1953,Adventure,Drama,Alberto_De_Martino,Werner_Herzog,0,0.385816358
1189,Richard_Hale,1.38007825,8.280469502,6,M,2008,1875,Comedy,,Frank_R._Strayer,John_T._Coyle,0,0.389134119
1173,Jim_Thorpe,1.402140287,2.804280573,2,M,2006,1887,Adventure,,Sam_Newfield,,0,0.387800477
1121,Walter_George_Alton,1.516896661,6.067586646,4,M,1955,1941,Adventure,Romance,Alberto_De_Martino,Lawrence_Dane,0,0.385816358
964,Mary_LaRoche,4.086543844,4.086543844,1,F,2012.68,1920,Drama,,Don_Siegel,,0,0.372277671
1233,June_Tripp,4.64116046,9.282320921,2,F,1974.576923,1901,Drama,,Alfred_Hitchcock,,0,0.391298392
971,Adrienne_Gessner,2.026503218,4.053006436,2,F,2009,1896,Drama,Romance,Don_Siegel,Gunther_von_Fritsch,0,0.372277671
1072,Loretta_Sayers,1.367084789,6.835423946,5,F,1998,1911,Drama,,Lambert_Hillyer,Louis_King,0,0.383285227
1176,Ellen_Greene,3.146459198,28.31813278,9,F,1971.5,1951,Drama,Crime,Drew_Ann_Rosenberg,Paul_Mazursky,1,0.387903975
1055,Marguerite_Chapman,2.189883552,74.45604076,34,F,1995,1918,Adventure,Romance,Ray_Enright,Alfred_E._Green,1,0.381077755
1215,Philip_Merivale,3.190782165,51.05251465,16,M,1964,1886,Drama,Romance,Alfred_Hitchcock,Sam_Taylor,1,0.391298392
1231,Brenda_de_Banzie,3.43457808,58.38782735,17,F,1976.615385,1909,Drama,Thriller,Alfred_Hitchcock,Guy_Green,1,0.391298392
1049,Anthony_George,1.189735161,3.569205484,3,M,1970,1921,Western,Sci-Fi,Joseph_Kane,Gabriel_Anderson,0,0.380544755
946,Dudley_Digges,2.606897853,65.17244634,25,M,1973,1879,Drama,Family,Roy_Del_Ruth,Wesley_Ruggles,1,0.369463075
1123,Robert_Nelson,1.225361095,4.901444382,4,M,1976,1930,Adventure,Horror,Richard_Mailer,Roul_Haig,0,0.386646893
1208,Violet_Farebrother,2.993103324,5.986206647,2,F,2018,1888,Drama,Thriller,Alfred_Hitchcock,Sidney_Gilliat,0,0.391298392
989,Arnold_Moss,2.669551917,13.34775959,5,M,2005,1910,Crime,Drama,Norman_Z._McLeod,David_Butler,0,0.376103446
1133,Annette_Bening,4.424149997,207.9350499,47,F,2003,1958,Drama,Romance,Edward_Zwick,Dan_Fogelman,1,0.387108648
1188,Russell_Gleason,1.495656816,41.87839084,28,M,1996,1907,Comedy,Drama,Frank_R._Strayer,Malcolm_St._Clair,1,0.389134119
1207,John_Gielgud,3.281779418,124.7076179,38,M,2020,1904,Drama,Romance,Alfred_Hitchcock,Bud_Yorkin,1,0.391298392
